SKU;Brand;Nama Produk;Price List NFI;Harga Display;Harga Cost;Harga Organik;Kode;Alias SKU 1;Alias Nama 1;Alias SKU 2;Alias Nama 2;Alias SKU 3;Alias Nama 3;Alias SKU 4;Alias Nama 4;Produk 1;SKU Produk 1;PCS Produk 1;Price List NFI 1;Subtotal Produk 1;Harga Display 1;Harga Cost 1;Harga Organik 1;Produk 2;SKU Produk 2;PCS Produk 2;Price List NFI 2;Subtotal Produk 2;Harga Display 2;Harga Cost 2;Harga Organik 2;Produk 3;SKU Produk 3;PCS Produk 3;Price List NFI 3;Subtotal Produk 3;Harga Display 3;Harga Cost 3;Harga Organik 3;Produk 4;SKU Produk 4;PCS Produk 4;Price List NFI 4;Subtotal Produk 4;Harga Display 4;Harga Cost 4;Harga Organik 4;Produk 5;SKU Produk 5;PCS Produk 5;Price List NFI 5;Subtotal Produk 5;Harga Display 5;Harga Cost 5;Harga Organik 5;Produk 6;SKU Produk 6;PCS Produk 6;Price List NFI 6;Subtotal Produk 6;Harga Display 6;Harga Cost 6;Harga Organik 6;Produk 7;SKU Produk 7;PCS Produk 7;Price List NFI 7;Subtotal Produk 7;Harga Display 7;Harga Cost 7;Harga Organik 7;SKU Generate;Sub Brand;Parent Item;SKU Generate [0];Parent SKU;MP Tokopedia;MP Lazada;MP Blibli;MP Jdid;MP Bukalapak;MP Nutrimart;MP Eksklusif;MP Shopee;Alias Nama 5;Alias SKU 5;Alias Nama 6;Alias SKU 6;Alias Nama 7;Alias SKU 7
PN20N33(2);Bundle;Paket Buy 2 Kopi Aren Get 1 Free Kopi Durian;39600.0;52500;39600;0;;;;;;;;;;W'Dank Lokalate Kopi Durian 10 sachet Renceng;1101675318;1.0;13200.0;13200.0;17500.0;13200.0;0.0;Lokalate Kopi Aren 10 sachet Renceng;1101681318;2.0;13200.0;26400.0;35000.0;26400.0;0.0;;;0.0;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;;;PN20N33(2);;;;;;;;;;;;;;;
PN19H20H23(2);Bundle;HiLo Thai Tea 20s + Hilo Teen Chocolate 750g + Nutrisari Markisa 10s;138930.0;168000;138930;0;;;;;;;;;;HiLo Thai Tea (10 sch);2101847443;2.0;13200.0;26400.0;40000.0;26400.0;0.0;HiLo Teen Chocolate 750gr;2101651190;1.0;102300.0;102300.0;112500.0;102300.0;0.0;NutriSari Markisa (10 Sch);1101976451;1.0;10230.0;10230.0;15500.0;10230.0;0.0;;;;;;;;0.0;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;NM Package;Paket HiLo Thai Tea 20s + Hilo Teen Chocolate 750g + Nutrisari Markisa 10s;PH20H23(2)N19;;;;;;;;;;;;;;;
PH7H23(2)N29;Bundle;HiLo Thai Tea 20s, Hilo Active Chocolate 750g & Nutrisari Madu Lemon 10s;117480.0;152500;117480;0;;;;;;;;;;HiLo Thai Tea (10 sch);2101847443;2.0;13200.0;26400.0;40000.0;26400.0;0.0;HiLo Active Chocolate 750gr;2101452190;1.0;80850.0;80850.0;97000.0;80850.0;0.0;NutriSari Madu Lemon (10 Sch);1101978451;1.0;10230.0;10230.0;15500.0;10230.0;0.0;;;;;;;;0.0;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;NM Package;Paket HiLo Thai Tea 20s + Hilo Active Chocolate 750g + Nutrisari Madu Lemon 10s;PH7H23(2)N29;;;;;;;;;;;;;;;
PH6L8;Bundle;L-Men Platinum 800gr & HiLo Active Choco 500gr;385000.0;485000;385000;0;;;;;;;;;;L-Men Platinum Choco Latte 800gr (25gr protein);2305551288;1.0;330000.0;330000.0;419000.0;330000.0;0.0;HiLo Active Chocolate 500gr;2101452180;1.0;55000.0;55000.0;66000.0;55000.0;0.0;;;0.0;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;NM Package;Paket L-Men Platinum 800gr + HiLo Active Chocolate 500gr;PH6L8;;;;;;;;;;;;;;;
PH1(4)L8L12;Bundle;L-Men Platinum 800gr (25gr Protein), L-Men Bar 12s & Hilo Avocado Chocolate x4;421520.0;526800;421520;0;;;;;;;;;;L-Men Platinum Choco Latte 800gr (25gr protein);2305551288;1.0;330000.0;330000.0;419000.0;330000.0;0.0;L-Men Bar Crunchy Chocolate 12sch;2306592173;1.0;66000.0;66000.0;70800.0;59400.0;0.0;HiLo Chocolate Avocado 200ml;2101467;4.0;6380.0;25520.0;29200.0;25520.0;0.0;;;;;;;;0.0;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;;;PH1(4)L8L12;;;;;;;;;;;;;;;
PT19N30(2);Bundle;Nutrisari Madu Kurma (Buy 10 Get 10) & Tropicana Slim Sweetener I Sweet 25s;37510.0;51400;37510;0;;;;;;;;;;NutriSari Madu Kurma (10 Sch);1101979451;2.0;10230.0;20460.0;31000.0;20460.0;0.0;Tropicana Slim Sweetener I Sweet;2103400120;1.0;17050.0;17050.0;17800.0;14850.0;0.0;;;0.0;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;NM Package;Paket Nutrisari Madu Kurma 20s +  Tropicana Slim Sweetener I-Sweet 25s;PN30(2)T19;;;;;;;;;;;;;;;
PT3T26T28;Bundle;Tropicana Slim Low Fat Vanilla 500gr, Tropicana Slim Kecap 200ml & Tropicana Slim Canola Oil 946ml;140250.0;179000;140250;0;;;;;;;;;;Tropicana Slim Milk Low Fat Vanilla 500gr;2105084180;1.0;58300.0;58300.0;83500.0;58300.0;0.0;Tropicana Slim Kecap Manis 200ml;2104390210;1.0;24750.0;24750.0;28400.0;23650.0;0.0;Tropicana Slim Minyak Kanola 946ml;2104405;1.0;57200.0;57200.0;63300.0;55000.0;0.0;;;;;;;;0.0;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;TS Package;Paket Jantung Sehat Tropicana Slim;PT3T26T28;;;;;;;;;;;;;;;
PH12T28;Bundle;Tropicana Slim Susu Low Fat Vanilla 500G & Hilo Active Belgian Chocolate 10sx30G;95700.0;128400;95700;0;;;;;;;;;;Tropicana Slim Milk Low Fat Vanilla 500gr;2105084180;1.0;58300.0;58300.0;83500.0;58300.0;0.0;HiLo Belgian Chocolate (10 sch);2101462303;1.0;37400.0;37400.0;44900.0;37400.0;0.0;;;0.0;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;;;PH12T28;;;;;;;;;;;;;;;
PT37(6)G76(6)B19;Bundle;Tropicana Slim Santan [5 Sachets/Beli 6 Gratis 6, bonus 1 Sendok Sup IKEA];66000.0;120000;80900;0;;PT37(6)G76(6)B19(1);Tropicana Slim Santan [5 Sachets/Beli 6 Gratis 6 dan Sendok Sup IKEA];;;;;;;Tropicana Slim Santan 5 sachet;2102300105;6.0;11000.0;66000.0;90000.0;66000.0;0.0;(Free) Tropicana Slim Santan 5 sachet;(B)2102300105;6.0;0.0;0.0;0.0;0.0;0.0;(FREE) Spatula IKEA;(B)71210095;1.0;0.0;0.0;30000.0;14900.0;0.0;;;;;;;;0.0;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;Tropicana Slim Merah;Tropicana Slim Santan [5 Sachets/Beli 6 Gratis 6 dan Sendok Sup IKEA];PT37(6)G76B19(6);;;;;;;;;;;;;;;
PT37G76;Bundle;Tropicana Slim Santan - Buy 1 Get 1 FREE;11000.0;15000;11000;0;;;;;;;;;;Tropicana Slim Santan 5 sachet;2102300105;1.0;11000.0;11000.0;15000.0;11000.0;0.0;(Free) Tropicana Slim Santan 5 sachet;(B)2102300105;1.0;0.0;0.0;0.0;0.0;0.0;;;0.0;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;Tropicana Slim Merah;Tropicana Slim Santan - Buy 1 Get 1 FREE;2102300105P1B19;PT37G76;;;;;;;;;;;;;;
